UserID,SessionID,page_views,product_views,add_to_cart,purchases,cart_value,session_duration,Purchased
1,1,3,1,3,0,0.0,16224635.003077,0
1,2,3,1,0,0,0.0,12853795.694523,0
1,3,1,1,3,1,72.91361870063564,15511300.832113,1
1,4,2,1,4,1,7.677937741600427,16905600.654249,1
1,5,1,1,0,4,998.5706158036945,15148189.645641,1
1,6,1,2,4,0,0.0,7626838.4901,0
1,7,0,3,5,0,0.0,15787763.40317,0
1,8,2,2,0,0,0.0,16925662.803859,0
1,9,2,2,2,2,916.9666076265877,14946985.069215,1
1,10,0,0,2,0,0.0,12603592.146918,0
2,1,1,0,0,1,262.5236986694382,8848621.03206,1
2,2,3,0,1,2,329.40949736150947,15153991.250446,1
2,3,0,0,2,1,92.79021854337398,16270940.310494,1
2,4,1,0,4,0,0.0,16989739.123035,0
2,5,1,0,2,1,112.32094388676128,16060211.836652,1
2,6,0,1,3,2,264.3612958145341,13481345.055578,1
2,7,1,1,0,3,604.6412405400685,17022354.280614,1
2,8,1,0,2,1,107.78039914003529,9033834.296842,1
2,9,2,0,2,0,0.0,16350075.233487,0
2,10,0,2,2,2,902.7264264006692,13992712.580085,1
3,1,0,0,1,1,481.21558835328943,12481600.563803,1
3,2,1,0,1,0,0.0,14058497.509414,0
3,3,2,1,0,0,0.0,10797807.285588,0
3,4,0,0,0,3,214.51903739431023,11572402.657471,1
3,5,0,2,0,1,389.6233604915428,13620771.928789,1
3,6,1,0,2,0,0.0,10144979.083107,0
3,7,0,2,2,1,427.3414061512343,15723263.276821,1
3,8,0,2,1,0,0.0,15740091.533991,0
3,9,3,1,0,0,0.0,10892219.733254,0
3,10,2,2,4,0,0.0,13403395.786533,0
4,1,2,0,1,2,503.0719473595666,11046470.673926,1
4,2,2,0,1,0,0.0,7460849.135234,0
4,3,2,2,3,0,0.0,13176961.124701,0
4,4,2,1,1,1,420.4220392158971,14747706.866646,1
4,5,3,1,2,1,124.24200980482244,14589491.297752,1
4,6,0,0,1,1,120.36236236814712,16168800.196847,1
4,7,0,1,2,1,203.42248717369745,12377187.71586,1
4,8,2,1,0,0,0.0,16614995.577564,0
4,9,1,2,2,1,406.140230694623,15001956.01416,1
4,10,3,1,1,2,545.1652815560183,11537179.593438,1
5,1,4,0,2,0,0.0,11914146.995846,0
5,2,0,4,2,0,0.0,9694632.224442,0
5,3,2,1,1,0,0.0,11487246.044481,0
5,4,1,0,1,1,217.8421813257225,17134658.381135,1
5,5,1,1,1,2,648.3926203423614,8408166.970064,1
5,6,1,2,2,2,752.9064768337946,17697759.554919,1
5,7,0,2,1,1,288.0795387810758,16870767.567867,1
5,8,1,0,1,0,0.0,8106023.56819,0
5,9,1,1,2,0,0.0,14028077.939128,0
5,10,3,3,0,1,282.09552806787485,13518656.704415,1
6,1,3,0,1,1,30.454456916699424,10279145.418751,1
6,2,1,0,1,1,204.34636667922555,16025188.930612,1
6,3,1,0,0,1,247.12842145320656,11748519.73684,1
6,4,1,1,0,5,942.0464002116282,16050473.46249,1
6,5,1,1,2,2,277.9661391744753,14344407.780391,1
6,6,2,2,1,0,0.0,16421903.594801,0
6,7,0,2,0,1,262.1432486809362,15048106.505979,1
